iter	Passed	Remaining
0	154	154546
1	168	84052
2	175	58183
3	185	46168
4	188	37471
5	191	31743
6	195	27727
7	197	24499
8	199	21987
9	201	19934
10	203	18268
11	204	16862
12	208	15830
13	209	14780
14	211	13870
15	212	13086
16	214	12379
17	215	11754
18	216	11197
19	218	10718
20	220	10269
21	223	9938
22	224	9557
23	226	9201
24	227	8876
25	228	8573
26	229	8285
27	231	8032
28	232	7797
29	234	7571
30	237	7416
31	239	7231
32	240	7057
33	242	6880
34	243	6712
35	244	6558
36	246	6414
37	247	6272
38	249	6140
39	252	6061
40	254	5961
41	256	5849
42	257	5740
43	259	5632
44	260	5533
45	262	5439
46	263	5344
47	265	5258
48	266	5174
49	268	5092
50	269	5010
51	270	4934
52	272	4860
53	273	4787
54	274	4719
55	275	4651
56	277	4585
57	280	4559
58	282	4498
59	283	4439
60	284	4381
61	286	4332
62	287	4277
63	288	4225
64	290	4175
65	291	4124
66	292	4077
67	296	4062
68	297	4016
69	298	3971
70	300	3936
71	302	3896
72	303	3855
73	304	3814
74	306	3775
75	307	3737
76	309	3715
77	311	3685
78	313	3655
79	316	3635
80	318	3617
81	320	3589
82	322	3558
83	324	3534
84	327	3526
85	329	3497
86	330	3469
87	331	3440
88	333	3412
89	335	3388
90	336	3363
91	340	3355
92	344	3355
93	346	3335
94	347	3310
95	348	3286
96	350	3264
97	352	3241
98	354	3221
99	357	3214
100	358	3193
101	360	3171
102	361	3150
103	363	3128
104	364	3107
105	365	3085
106	367	3063
107	368	3042
108	370	3025
109	372	3017
110	374	2997
111	375	2978
112	376	2958
113	378	2941
114	379	2922
115	380	2902
116	382	2883
117	383	2864
118	384	2846
119	385	2830
120	387	2812
121	388	2795
122	389	2778
123	390	2762
124	392	2745
125	393	2729
126	394	2713
127	396	2697
128	397	2682
129	398	2669
130	400	2655
131	401	2640
132	402	2626
133	404	2612
134	405	2597
135	406	2583
136	407	2569
137	409	2556
138	410	2542
139	411	2528
140	414	2524
141	416	2518
142	420	2519
143	422	2510
144	423	2498
145	425	2488
146	427	2478
147	428	2466
148	429	2453
149	430	2441
150	431	2428
151	433	2415
152	434	2403
153	435	2391
154	435	2375
155	437	2364
156	438	2352
157	439	2340
158	440	2331
159	441	2320
160	443	2309
161	444	2298
162	445	2287
163	446	2276
164	447	2266
165	448	2255
166	450	2245
167	450	2230
168	451	2220
169	452	2209
170	453	2199
171	454	2189
172	456	2180
173	457	2170
174	458	2161
175	459	2151
176	460	2142
177	461	2132
178	463	2123
179	464	2114
180	465	2105
181	466	2095
182	467	2087
183	468	2078
184	469	2070
185	471	2061
186	472	2053
187	473	2044
188	474	2036
189	475	2027
190	476	2019
191	477	2010
192	479	2002
193	480	1994
194	481	1986
195	482	1978
196	483	1970
197	484	1964
198	486	1957
199	487	1950
200	488	1943
201	490	1936
202	491	1929
203	492	1921
204	493	1914
205	494	1906
206	495	1899
207	496	1892
208	498	1885
209	499	1878
210	500	1871
211	501	1864
212	502	1857
213	503	1850
214	504	1843
215	506	1837
216	507	1830
217	508	1823
218	509	1817
219	510	1810
220	511	1804
221	513	1797
222	514	1791
223	515	1785
224	516	1778
225	517	1772
226	518	1765
227	519	1759
228	520	1753
229	521	1747
230	523	1741
231	524	1735
232	525	1729
233	526	1723
234	527	1717
235	528	1711
236	529	1705
237	530	1699
238	531	1693
239	533	1688
240	534	1682
241	535	1676
242	536	1671
243	537	1666
244	538	1660
245	540	1655
246	541	1650
247	542	1646
248	544	1641
249	545	1636
250	546	1631
251	547	1626
252	549	1621
253	550	1616
254	551	1611
255	552	1606
256	553	1601
257	554	1595
258	556	1590
259	558	1588
260	560	1585
261	561	1581
262	562	1576
263	563	1570
264	564	1566
265	565	1561
266	568	1559
267	570	1556
268	571	1552
269	572	1548
270	573	1543
271	575	1539
272	576	1534
273	577	1529
274	578	1525
275	579	1520
276	580	1515
277	582	1513
278	585	1512
279	586	1507
280	587	1502
281	588	1498
282	589	1493
283	590	1489
284	591	1484
285	592	1480
286	594	1475
287	595	1471
288	596	1467
289	599	1467
290	601	1464
291	602	1460
292	603	1456
293	604	1452
294	605	1447
295	607	1443
296	608	1439
297	609	1435
298	610	1431
299	611	1426
300	614	1426
301	615	1423
302	616	1419
303	618	1415
304	619	1410
305	620	1406
306	621	1402
307	622	1398
308	623	1394
309	624	1390
310	626	1387
311	629	1388
312	631	1386
313	632	1382
314	633	1378
315	635	1374
316	636	1370
317	637	1366
318	638	1362
319	639	1359
320	640	1355
321	642	1351
322	644	1351
323	646	1349
324	647	1345
325	649	1342
326	650	1338
327	651	1334
328	652	1330
329	653	1327
330	654	1323
331	656	1320
332	657	1316
333	659	1315
334	661	1313
335	662	1310
336	664	1306
337	665	1303
338	666	1299
339	667	1296
340	668	1292
341	669	1289
342	671	1285
343	672	1282
344	674	1279
345	675	1277
346	677	1274
347	678	1271
348	680	1269
349	681	1265
350	682	1262
351	683	1259
352	685	1255
353	686	1252
354	687	1249
355	689	1248
356	691	1246
357	693	1242
358	694	1239
359	695	1236
360	696	1232
361	697	1229
362	698	1226
363	699	1222
364	701	1220
365	702	1217
366	705	1217
367	707	1215
368	709	1212
369	710	1209
370	712	1207
371	713	1204
372	715	1202
373	716	1199
374	717	1196
375	720	1196
376	723	1194
377	724	1192
378	726	1189
379	727	1187
380	729	1185
381	730	1182
382	732	1179
383	733	1176
384	736	1176
385	738	1174
386	739	1171
387	740	1168
388	743	1168
389	745	1166
390	747	1163
391	748	1160
392	749	1158
393	752	1157
394	753	1154
395	754	1151
396	756	1148
397	757	1145
398	758	1142
399	759	1139
400	760	1136
401	761	1133
402	763	1131
403	764	1128
404	766	1126
405	767	1123
406	769	1120
407	770	1117
408	771	1114
409	772	1112
410	773	1109
411	774	1106
412	776	1103
413	777	1100
414	778	1097
415	779	1094
416	780	1091
417	782	1089
418	783	1086
419	785	1084
420	787	1082
421	788	1079
422	789	1076
423	790	1073
424	791	1071
425	792	1068
426	793	1065
427	795	1062
428	796	1060
429	797	1057
430	798	1054
431	799	1051
432	800	1048
433	802	1046
434	803	1043
435	804	1040
436	805	1037
437	806	1034
438	807	1032
439	808	1029
440	810	1026
441	811	1024
442	812	1021
443	813	1018
444	814	1015
445	815	1013
446	816	1010
447	818	1007
448	819	1005
449	820	1002
450	821	999
451	822	997
452	823	994
453	824	992
454	826	989
455	827	987
456	828	984
457	830	982
458	831	979
459	832	977
460	833	974
461	834	972
462	835	969
463	837	967
464	838	964
465	839	961
466	840	959
467	841	957
468	843	954
469	844	952
470	845	949
471	846	947
472	847	944
473	849	942
474	850	939
